;customer_id;country;gender;age;purchase_amount;payment
0;1;france;Male;44;74.14;cb
1;2;France;Female;18;43.38;cash
2;3;France;Male;16;24.8;cb
3;4;France;Female;57;113.53;paypal
4;5;France;Female;31;58.49;cb
5;6;USA;Female;39;67.32;paypal
6;7;France;Male;53;109.8;cb
7;8;France;Male;18;109.7;paypal
8;9;USA;Male;34;141.0;paypal
9;10;France;Female;19;100.2;cash
10;11;France;Female;58;50.27;paypal
11;12;USA;Female;27;61.22;paypal
12;13;France;Female;47;33.76;cb
13;14;USA;Male;36;135.1;cash
14;15;France;Female;59;50.07;cash
15;16;USA;Female;42;56.14;cash
16;17;France;Female;46;98.71;cb
17;18;France;Male;59;75.46;paypal
18;19;France;Female;49;65.08;paypal
19;20;France;Female;45;131.54;cash
20;21;USA;Female;20;102.38;cash
21;22;France;Female;29;141.62;cash
22;23;USA;Female;41;130.36;cash
23;24;USA;Female;43;92.54;cash
24;25;USA;Female;45;77.75;paypal
25;26;USA;Female;39;84.98;cash
26;27;France;Male;27;138.96;paypal
27;28;France;Female;34;73.09;cash
28;29;France;Female;36;143.63;cb
29;30;France;Male;42;79.63;cash
30;31;France;Female;18;132.4;paypal
31;32;France;Male;35;129.68;paypal
32;33;France;Female;28;25.67;cb
33;34;France;Male;29;104.31;cash
34;35;USA;Male;35;67.53;cb
35;36;USA;Male;38;23.29;cb
36;37;France;Male;45;59.93;paypal
37;38;USA;Female;29;67.37;paypal
38;39;USA;Male;56;50.88;paypal
39;40;USA;Male;43;65.56;paypal
40;41;France;Female;25;44.79;paypal
41;42;France;Female;46;22.99;cb
42;43;France;Female;17;20.42;cash
43;44;France;Male;37;113.38;cb
44;45;USA;Female;58;112.55;cb
45;46;USA;Female;33;142.36;cash
46;47;France;Male;30;41.34;cb
47;48;France;Female;16;121.12;cb
48;49;France;Female;40;83.12;cash
49;50;France;Female;46;128.56;paypal
50;51;USA;Female;32;45.24;cb
51;52;France;Female;18;23.88;cash
52;53;USA;Male;31;146.86;cash
53;54;France;Female;35;92.57;cash
54;55;France;Female;26;121.34;cb
55;56;USA;Male;52;25.14;paypal
56;57;USA;Female;22;58.01;cash
57;58;France;Male;51;120.64;paypal
58;59;USA;Female;23;76.85;cash
59;60;USA;Male;45;38.79;paypal
60;61;France;Female;38;22.97;cash
61;62;USA;Male;46;125.82;paypal
62;63;France;Male;31;122.33;cash
63;64;USA;Female;32;94.22;paypal
64;65;France;Male;28;139.54;cash
65;66;USA;Male;48;80.88;cash
66;67;USA;Female;34;39.57;paypal
67;68;France;Male;20;66.16;paypal
68;69;USA;Male;48;36.43;paypal
69;70;USA;Male;40;49.71;paypal
70;71;France;Female;25;79.83;cash
71;72;France;Male;57;64.53;cash
72;73;France;77.0;40;51.91;paypal
73;74;USA;Male;21;50.02;cb
74;75;France;Female;19;115.94;cash
75;76;France;Male;35;94.4;paypal
76;77;USA;Male;23;20.14;cash
77;78;France;Male;38;25.0;cash
78;79;USA;Male;44;51.41;paypal
79;80;France;Female;56;90.14;cb
80;81;85.0;Female;41;31.85;paypal
81;82;USA;Male;36;121.49;cash
82;83;France;Female;42;78.9;cash
83;84;France;Male;29;39.23;cb
84;85;France;Male;17;51.1;cb
85;86;France;Male;18;144.39;paypal
86;87;France;Female;40;147.8;cash
87;88;France;Male;18;118.88;cash
88;89;USA;Female;46;61.43;paypal
89;90;France;Female;58;82.47;cash
90;91;USA;Male;23;41.07;cb
91;92;USA;Female;24;146.76;paypal
92;93;France;Male;46;58.48;paypal
93;94;USA;Male;54;96.5;paypal
94;95;France;Male;34;77.64;paypal
95;96;USA;Male;58;41.89;cb
96;97;USA;Female;25;101.38;cb
97;98;USA;Female;33;53.36;paypal
98;99;France;Male;58;147.26;cash
99;100;USA;Male;19;30.08;cb
100;101;USA;Male;35;57.72;cb
101;102;France;Female;60;85.47;paypal
102;103;USA;Female;17;87.58;cb
103;104;France;Female;29;60.03;paypal
104;105;USA;Female;42;27.2;cash
105;106;France;Male;29;74.33;cb
106;107;USA;Female;29;107.38;cb
107;108;France;Female;29;122.76;paypal
108;109;USA;Female;50;130.45;cash
109;110;USA;Female;47;123.98;cb
110;111;USA;Female;42;119.4;cb
111;112;France;Male;46;65.72;cash
112;113;France;Male;32;21.61;paypal
113;114;France;Male;39;134.79;cash
114;115;France;Male;55;92.31;cash
115;116;France;Male;42;99.46;cb
116;117;USA;Male;49;90.15;paypal
117;118;USA;Female;43;63.67;paypal
118;119;France;Female;27;59.46;paypal
119;120;France;Male;28;58.11;cb
120;121;USA;Male;59;72.22;cb
121;122;USA;Female;57;38.24;cash
122;123;France;Female;44;76.04;paypal
123;124;France;Female;29;133.54;paypal
124;125;France;Female;32;45.5;cash
125;126;USA;Male;41;46.62;cb
126;127;France;Male;22;66.31;paypal
127;128;France;Female;60;140.43;paypal
128;129;France;Male;20;89.52;cash
129;130;France;Male;51;100.54;cash
130;131;USA;Female;56;125.63;cash
131;132;France;Female;33;118.06;paypal
132;133;USA;Male;25;122.42;paypal
133;134;France;Male;60;71.75;paypal
134;135;USA;Female;55;82.74;paypal
135;136;France;Female;20;32.12;cb
136;137;USA;Male;48;48.44;cb
137;138;France;Female;42;50.57;cash
138;139;France;Male;58;89.18;cb
139;140;France;Female;32;103.43;cash
140;141;USA;Female;22;21.2;cash
141;142;France;Male;19;22.04;paypal
142;143;USA;Male;41;132.22;paypal
143;144;USA;Female;55;75.32;paypal
144;145;USA;Female;60;129.93;cb
145;146;USA;Male;52;138.39;cash
146;147;USA;Female;57;80.61;cb
147;148;France;Female;46;106.54;paypal
148;149;France;Male;30;58.12;paypal
149;150;USA;Male;54;124.85;paypal
150;151;France;Female;53;108.33;paypal
151;152;France;Male;34;134.77;cash
152;153;USA;Male;22;104.01;cb
153;154;USA;Female;26;79.89;paypal
154;155;USA;Male;20;62.62;cb
155;156;France;Female;26;113.48;cash
156;157;France;Male;37;112.55;cash
157;158;85.0;Male;31;94.68;cash
158;159;France;Female;36;74.52;cb
159;160;USA;Female;33;51.57;cb
160;161;France;Male;57;146.04;cb
161;162;France;Male;19;78.61;paypal
162;163;France;Female;35;117.17;cb
163;164;USA;Female;36;121.8;cash
164;165;USA;Male;23;88.71;cb
165;166;USA;Female;46;34.72;cb
166;167;USA;Male;29;120.68;cash
167;168;France;Male;47;62.68;cash
168;169;France;Female;36000;66.1;paypal
169;170;USA;Male;15;137.19;paypal
170;171;France;Female;33;94.73;cb
171;172;USA;Male;34;46.67;paypal
172;173;France;Male;16;136.29;cb
173;174;France;Male;19;117.73;cash
174;175;USA;Female;49;87.75;cash
175;176;USA;Male;44;108.47;cb
176;177;France;Male;37;132.65;cb
177;178;USA;Male;37;84.31;paypal
178;179;USA;Female;59;41.33;cb
179;180;USA;Male;34;59.45;cash
180;181;USA;Female;47;26.96;paypal
181;182;USA;Female;19;147.32;cb
182;183;USA;Female;48;124.58;paypal
183;184;France;Female;49;136.31;cash
184;185;USA;Female;34;70.95;paypal
185;186;France;Male;53;119.58;cb
186;187;France;Female;24;31.45;cash
187;188;USA;Female;16;38.75;cash
188;189;USA;Male;39;132.78;cash
189;190;USA;Female;58;85.44;cash
190;191;France;Female;39;82.86;cb
191;192;USA;Male;59;124.58;paypal
192;193;USA;Male;36;28.93;paypal
193;194;USA;Female;30;57.4;paypal
194;195;France;Male;29;87.54;cash
195;196;USA;Female;34;90.83;cb
196;197;USA;Male;15;65.23;cash
197;198;USA;Male;39;109.42;cash
198;199;France;Male;50;62.74;paypal
199;200;USA;Female;16;76.21;paypal
200;201;France;Male;39;61.68;paypal
201;202;France;Male;39;22.99;cash
202;203;France;Male;47;149.63;paypal
203;204;France;Female;38;68.7;paypal
204;205;USA;Female;43;142.05;cash
205;206;USA;Female;35;80.97;cash
206;207;France;Male;32;67.05;paypal
207;208;France;Female;59;81.8;paypal
208;209;USA;Female;16;147.9;cash
209;210;USA;Female;39;52.73;cash
210;211;France;Male;28;66.99;cash
211;212;USA;Male;40;57.31;paypal
212;213;USA;Female;16;85.24;cb
213;214;France;Female;16;144.98;cash
214;215;France;Male;42;105.58;cb
215;216;USA;Male;27;137.36;paypal
216;217;USA;Female;36;39.74;paypal
217;218;USA;Female;31;149.4;cash
218;219;USA;Female;49;60.98;paypal
219;220;USA;Male;26;124.4;paypal
220;221;France;Male;47;46.14;cash
221;222;France;Male;34;117.37;paypal
222;223;France;Female;43;139.67;paypal
223;224;USA;Male;47;48.4;cash
224;225;France;Male;22;75.77;paypal
225;226;USA;Male;47;88.86;cash
226;227;France;Male;29;141.42;cb
227;228;France;Female;21;42.06;cb
228;229;France;Female;22;104.54;cb
229;230;USA;Female;22;90.81;cash
230;231;France;Male;33;128.46;paypal
231;232;USA;Male;33;140.85;paypal
232;233;France;Female;15;57.43;cb
233;234;USA;Female;27;52.07;cash
234;235;USA;Male;44;82.17;cb
235;236;France;Male;42;137.56;cb
236;237;France;Female;59;131.29;cash
237;238;USA;Female;17;101.17;cash
238;239;France;Male;48;53.19;cash
239;240;USA;Male;40;64.32;paypal
240;241;France;Male;47;46.48;cb
241;242;USA;Female;41;102.2;cb
242;243;USA;Male;24;35.05;paypal
243;244;USA;Female;25;123.29;cash
244;245;France;Female;44;124.66;cb
245;246;France;Male;37;28.0;cb
246;247;USA;Male;29;26.96;paypal
247;248;France;Male;20;95.23;cash
248;249;USA;Female;41;76.71;cb
249;250;France;;47;91.06;cb
250;251;USA;Female;44;56.33;cb
251;252;France;Female;27;91.04;paypal
252;253;France;Female;50;78.88;cb
253;254;France;Male;17;26.39;bc
254;255;USA;Female;52;144.65;cash
255;256;France;Female;41;41.84;paypal
256;257;France;Male;16;131.49;cb
257;258;France;Female;28;79.36;cash
258;259;France;Female;24;89.47;paypal
259;260;USA;Female;53;88.87;cash
260;261;France;Female;46;30.49;paypal
261;262;USA;Female;46;112.18;cb
262;263;France;Female;41;111.14;cash
263;264;USA;Male;46;105.36;cash
264;265;USA;Female;45;138.76;cb
265;266;France;Female;47;134.46;cash
266;267;USA;Female;55;93.07;paypal
267;268;France;Male;55;141.97;paypal
268;269;USA;Female;55;80.01;cash
269;270;France;Male;32;124.94;paypal
270;271;USA;Female;34;75.79;cb
271;272;USA;Female;37;25.85;cb
272;273;France;Female;47;144.94;cash
273;274;USA;Male;30;53.38;paypal
274;275;USA;Female;51;144.05;paypal
275;276;USA;Male;24;51.94;cb
276;277;USA;Male;34;35.16;cb
277;278;France;Female;54;31.46;cash
278;279;France;Male;38;148.0;cb
279;280;USA;Male;34;130.17;cb
280;281;France;Male;55;64.09;paypal
281;282;USA;Male;27;138.18;cb
282;283;USA;Female;20;76.71;paypal
283;284;France;Male;22;24.32;cb
284;285;France;Male;31;42.9;cash
285;286;USA;Female;60;77.04;paypal
286;287;USA;Female;55;122.14;cb
287;288;France;Female;57;98.57;paypal
288;289;France;Female;36;20.29;cb
289;290;France;Male;36;32.85;cash
290;291;USA;Female;50;70.81;cash
291;292;USA;Male;55;145.14;cb
292;293;France;Female;48;78.29;cb
293;294;USA;Female;30;129.2;cb
294;295;USA;Male;57;36.88;cash
295;296;France;Female;32;71.62;paypal
296;297;USA;Female;25;24.77;cb
297;298;USA;Female;24;22.63;cb
298;299;USA;Female;43;51.41;paypal
299;300;USA;Female;50;84.16;paypal
300;301;USA;Female;39;139.0;cb
301;302;France;Female;50;64.55;paypal
302;303;France;Female;19;108.15;paypal
303;304;France;Female;55;104.35;paypal
304;305;France;Male;48;58.6;cash
305;306;France;Male;56;44.61;cash
306;307;France;Male;30;22.22;paypal
307;308;France;Male;26;131.09;paypal
308;309;USA;Male;17;75.61;cash
309;310;USA;Female;29;139.95;paypal
310;311;France;Female;31;23.23;cb
311;312;USA;Male;41;135.67;cash
312;313;France;Male;42;143.01;cb
313;314;France;Male;50;103.61;cb
314;315;France;Male;59;111.1;cash
315;316;France;Female;52;69.66;cb
316;317;USA;Male;29;124.46;paypal
317;318;France;Male;37;101.23;cash
318;319;France;Female;15;62.19;cb
319;320;USA;Female;20;141.05;cb
320;321;France;Female;21;36.19;cb
321;322;USA;Male;30;50.83;cash
322;323;USA;Male;17;45.97;paypal
323;324;USA;Male;43;39.52;cash
324;325;France;Female;18;122.57;paypal
325;326;France;Male;38;27.55;cb
326;327;France;Male;27;148.69;cb
327;328;USA;Male;20;71.88;paypal
328;329;France;Female;32;90.53;99.0
329;330;France;Male;44;87.91;paypal
330;331;USA;Male;44;110.97;cash
331;332;France;Female;49;115.71;cb
332;333;USA;Male;32;57.46;cb
333;334;USA;Female;17;63.28;cash
334;335;France;Male;48;49.29;paypal
335;336;USA;Female;28;73.91;cb
336;337;France;Female;57;112.16;cash
337;338;France;Female;41;70.34;cash
338;339;France;Male;34;80.0;cb
339;340;France;Female;40;81.09;cash
340;341;France;Female;25;81.96;paypal
341;342;France;Female;60;85.99;cb
342;343;USA;Male;59;85.8;paypal
343;344;France;Male;47;25.14;cash
344;345;France;Male;49;129.5;cb
345;346;France;Female;44;56.84;paypal
346;347;France;Female;50;99.63;cb
